Month-Year,SE,ANOM,SST,,year,sst_yr,sst_se_yr,sst_anom_yr,,year,sst_summer,sst_se_summer,sst_anom_summer,,year,sst_winter,sst_se_winter,sst_anom_winter
May-87,0.270838706,-0.583677412,7.781290159,,,,,,,,,,,,,,,
Jun-87,0.314999996,0.937199991,13.66379967,,,,,,,,,,,,,,,
Jul-87,0.285741929,-0.050967743,16.24148356,,,,,,,,,,,,,,,
Aug-87,0.249290317,-0.278193545,16.95683852,,,,,,,,,,,,,,,
Sep-87,0.277933329,-0.207866663,15.14346638,,,,,,,,,,,,,,,
Oct-87,0.2096129,-0.59748386,11.6287095,,,,,,,,,,,,,,,
Nov-87,0.266266662,-0.700266656,8.752066551,,,,,,,,,,,,,,,
Dec-87,0.245935479,-0.473677412,6.663290219,,,,,,,,,,,,,,,
Jan-88,0.232129028,-0.183548384,4.901354774,,,,,,,,,,,,,,,
Feb-88,0.26717241,0.014689655,3.750275805,,,,,,,,,,,,,,,
Mar-88,0.22245161,0.483096766,3.962387025,,,,,,,,,,,,,,,
Apr-88,0.279066663,0.570199991,5.513733241,,,,,,,,,,,,,,,
May-88,0.267612899,0.758451596,9.123870755,,,,,,,,,,,,,,,
Jun-88,0.286599995,-0.230733329,12.49546641,,,,,,,,,,,,,,,
Jul-88,0.277161286,0.040387097,16.33232234,,,,,,,,,,,,,,,
Aug-88,0.245677415,0.24625806,17.48077397,,,,,,,,,,,,,,,
Sep-88,0.22333333,-0.533733327,14.81813299,,,,,,,,,,,,,,,
Oct-88,0.249290318,-0.878838694,11.34709659,,,,,,,,,,,,,,,
Nov-88,0.214466664,-0.773733319,8.677866507,,,,,,,,,,,,,,,
Dec-88,0.230709674,-0.676193537,6.459935376,,,,,,,,,,,,,,,
Jan-89,0.268709673,0.13696774,5.222580579,,,,,,,,,,,,,,,
Feb-89,0.325214281,0.643714275,4.390428504,,,,,,,,,,,,,,,
Mar-89,0.26025806,-0.203741932,3.27496769,,,,,,,,,,,,,,,
Apr-89,0.235266663,-0.134133333,4.809466587,,,,,,,,,,,,,,,
May-89,0.276129027,0.897677407,9.263032096,,,,,,,,,,,,,,,
Jun-89,0.277999996,0.590066658,13.31673305,,,,,,,,,,,,,,,
Jul-89,0.240645157,0.671548376,16.9644514,,,,,,,,,,,,,,,
Aug-89,0.237419351,0.323548382,17.55864494,,,,,,,,,,,,,,,
Sep-89,0.247799997,0.206933329,15.55799967,,,,,,,,,,,,,,,
Oct-89,0.237741932,-0.70432257,11.52258044,,,,,,,,,,,,,,,
Nov-89,0.23653333,-0.279533329,9.173066486,,,,,,,,,,,,,,,
Dec-89,0.227677416,-1.33296772,5.803032172,,,,,,,,,,,,,,,
Jan-90,0.265935479,-0.897935468,4.187419286,,,,,,,,,,,,,,,
Feb-90,0.251071425,0.056357142,3.802928491,,,,,,,,,,,,,,,
Mar-90,0.248709674,0.253290318,3.731935434,,,,,,,,,,,,,,,
Apr-90,0.278399996,-0.22073333,4.722799945,,,,,,,,,,,,,,,
May-90,0.298709673,-0.652903215,7.712580497,,,,,,,,,,,,,,,
Jun-90,0.320999995,-0.292733329,12.43313305,,,,,,,,,,,,,,,
Jul-90,0.275096771,0.273225802,16.56496746,,,,,,,,,,,,,,,
Aug-90,0.25109677,1.788322561,19.02290303,,,,,,,,,,,,,,,
Sep-90,0.220866664,0.712333325,16.06346635,,,,,,,,,,,,,,,
Oct-90,0.258258061,0.342451606,12.5686449,,,,,,,,,,,,,,,
Nov-90,0.238533331,-0.129599998,9.322799813,,,,,,,,,,,,,,,
Dec-90,0.255096771,-0.208645158,6.927225709,,,,,,,,,,,,,,,
Jan-91,0.253225802,0.257741932,5.34283865,,,,,,,,,,,,,,,
Feb-91,0.259428567,0.463857135,4.210357081,,,,,,,,,,,,,,,
Mar-91,0.279935481,0.365935477,3.844645095,,,,,,,,,,,,,,,
Apr-91,0.291199996,0.227199998,5.170599934,,,,,,,,,,,,,,,
May-91,0.257161287,2.097419323,10.46290298,,,,,,,,,,,,,,,
Jun-91,0.281199996,1.180399987,13.90686635,,,,,,,,,,,,,,,
Jul-91,0.254709673,1.0820645,17.37458045,,,,,,,,,,,,,,,
Aug-91,0.235354835,-0.212258061,17.02277397,,,,,,,,,,,,,,,
Sep-91,0.261733329,0.246599998,15.59733306,,,,,,,,,,,,,,,
Oct-91,0.235870964,0.144193546,12.37051589,,,,,,,,,,,,,,,
Nov-91,0.245199996,-0.510066659,8.941999792,,,,,,,,,,,,,,,
Dec-91,0.27077419,0.305548382,7.442128888,,,,,,,,,,,,,,,
Jan-92,0.26225806,0.552774185,5.63825799,,,,,,,,,,,,,,,
Feb-92,0.295379305,0.484137923,4.219586148,,,,,,,,,,,,,,,
Mar-92,0.24993548,0.036,3.514258008,,,,,,,,,,,,,,,
Apr-92,0.274133329,-0.133399997,4.809999933,,,,,,,,,,,,,,,
May-92,0.283806447,-0.500645152,7.864903088,,,,,,,,,,,,,,,
Jun-92,0.262799995,-0.322533327,12.40366645,,,,,,,,,,,,,,,
Jul-92,0.291935479,-1.035161278,15.25735453,,,,,,,,,,,,,,,
Aug-92,0.283161285,-0.949548373,16.28451585,,,,,,,,,,,,,,,
Sep-92,0.26793333,-0.890333317,14.4609996,,,,,,,,,,,,,,,
Oct-92,0.225032255,-0.994322564,11.23161264,,,,,,,,,,,,,,,
Nov-92,0.274133328,-1.356666641,8.095266527,,,,,,,,,,,,,,,
Dec-92,0.280774189,-0.458064509,6.678193434,,,,,,,,,,,,,,,
Jan-93,0.31806451,0.206129029,5.291225721,,,,,,,,,,,,,,,
Feb-93,0.282357139,0.228999998,3.975499944,,,,,,,,,,,,,,,
Mar-93,0.279032254,-0.478129023,3.000838669,,,,,,,,,,,,,,,
Apr-93,0.300599995,-0.571866659,4.371666607,,,,,,,,,,,,,,,
May-93,0.277096769,0.465354831,8.830193388,,,,,,,,,,,,,,,
Jun-93,0.245599995,-0.731599988,11.99446644,,,,,,,,,,,,,,,
Jul-93,0.259612899,0.121806449,16.41393525,,,,,,,,,,,,,,,
Aug-93,0.243483867,-0.077935483,17.15683854,,,,,,,,,,,,,,,
Sep-93,0.258266663,-0.318066662,15.0334664,,,,,,,,,,,,,,,
Oct-93,0.236838705,-1.190129008,11.0359998,,,,,,,,,,,,,,,
Nov-93,0.219466664,-1.118999983,8.333666482,,,,,,,,,,,,,,,
Dec-93,0.254516125,-0.795032245,6.340838621,,,,,,,,,,,,,,,
Jan-94,0.331548382,-0.841483859,4.243419295,,,,,,,,,,,,,,,
Feb-94,0.255428567,-1.101428556,2.645428538,,,,,,,,,,,,,,,
Mar-94,0.266516123,-0.691612893,2.787225757,,,,,,,,,,,,,,,
Apr-94,0.238866662,0.082133331,5.025999927,,,,,,,,,,,,,,,
May-94,0.258645157,-0.704129016,7.661290222,,,,,,,,,,,,,,,
Jun-94,0.253733329,0.2522,12.97806639,,,,,,,,,,,,,,,
Jul-94,0.228838705,1.150451587,17.44225788,,,,,,,,,,,,,,,
Aug-94,0.257354834,-0.221354836,17.01316104,,,,,,,,,,,,,,,
Sep-94,0.247266663,-0.64373332,14.706933,,,,,,,,,,,,,,,
Oct-94,0.225032255,-0.048193549,12.17806427,,,,,,,,,,,,,,,
Nov-94,0.239399996,0.64479999,10.09726646,,,,,,,,,,,,,,,
Dec-94,0.312516125,0.851741921,7.987612762,,,,,,,,,,,,,,,
Jan-95,0.349419351,0.142903225,5.227999926,,,,,,,,,,,,,,,
Feb-95,0.506214283,0.860428558,4.607142785,,,,,,,,,,,,,,,
Mar-95,0.44258064,-0.080774192,3.398903174,,,,,,,,,,,,,,,
